Confirmed,Deaths,Active,People_Tested,Testing_Rate,Mortality_Rate,Incident_Rate,Province_State,Days_Since_Start
3667,93,0.0,62029.0,0.0,2.536133078811017,74.78812241430825,Alabama,0
272,8,198.0,8038.0,1344.711576,2.9411764705882355,37.18158144748443,Alaska,0
0,0,0.0,3.0,5.391707554,0.0,0.0,American Samoa,0
3542,115,0.0,52289.0,578.5222863,3.2467532467532467,48.662422237325615,Arizona,0
1280,27,886.0,19722.0,761.7533537,2.109375,42.41494808807994,Arkansas,0
22201,632,0.0,190328.0,485.4238685,2.8422143146705103,56.18767640585548,California,0
11819,808,0.0,34873.0,615.3899908,3.9551115368824417,126.88548320325847,Colorado,0
12035,554,0.0,41220.0,1156.148159,4.603240548400499,337.5604825081403,Connecticut,0
1625,49,1385.0,11103.0,1.8351469144474442e-07,3.015384615384616,166.87821689855036,Delaware,0
49,0,49.0,0.0,0.0,0.0,0.0,Diamond Princess,0
1875,50,1332.0,10640.0,1507.618148,2.6666666666666665,265.6751904713999,District of Columbia,0
19895,461,0.0,323996.0,1508.5201946555171,2.3171651168635337,92.6308018391323,Florida,0
12452,433,0.0,54453.0,537.0439828,3.4773530356569227,117.27892917141946,Georgia,0
103,0,103.0,0.0,0.0,0.0,0.0,Grand Princess,0
133,5,70.0,826.0,502.9562379,3.7593984962406015,80.9844789897034,Guam,0
499,9,190.0,17968.0,1269.118355,1.8036072144288573,35.2432988292727,Hawaii,0
1407,27,0.0,14308.0,888.4214004,1.9189765458422168,78.73244677725768,Idaho,0
20852,720,0.0,100735.0,858.3672336,3.4529061960483407,164.55409210720384,Illinois,0
7928,448,0.0,42489.0,8.24111633920406e-08,5.650857719475278,117.76206329592073,Indiana,0
1587,41,872.0,17592.0,671.2677046,2.58349086326402,50.29999334404625,Iowa,0
1344,63,0.0,13253.0,543.4925249,4.6875,46.1330292580889,Kansas,0
1963,97,1402.0,24567.0,717.6402439,4.941416199694346,43.93786205928679,Kentucky,0
20595,840,0.0,104045.0,2263.19295,4.0786598689002185,443.0181247007288,Louisiana,0
633,19,348.0,6721.0,572.4842974,3.001579778830964,47.09078627478404,Maine,0
8225,236,7533.0,49764.0,9.041828214526737e-08,2.869300911854104,136.0475579256593,Maryland,0
25475,756,0.0,116730.0,2.029465928415265e-07,2.967615309126595,369.6044818551403,Massachusetts,0
